Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO2/kWh (direct),Carbon intensity gCO2/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024/1/1 0:00,Portugal,Portugal,PT,92.93,118.8,86.43,70.06,entsoe.eu,FALSE,
2024/1/1 1:00,Portugal,Portugal,PT,85.58,125.76,83.54,62.07,entsoe.eu,FALSE,
2024/1/1 2:00,Portugal,Portugal,PT,71.31,117.26,83.73,63.05,entsoe.eu,FALSE,
2024/1/1 3:00,Portugal,Portugal,PT,76.13,124.03,82.7,60.23,entsoe.eu,FALSE,
2024/1/1 4:00,Portugal,Portugal,PT,77.19,125.17,82.33,59.94,entsoe.eu,FALSE,
2024/1/1 5:00,Portugal,Portugal,PT,77.01,124.72,82.44,60.21,entsoe.eu,FALSE,
2024/1/1 6:00,Portugal,Portugal,PT,83.61,134.58,80.92,56.37,entsoe.eu,FALSE,
2024/1/1 7:00,Portugal,Portugal,PT,83.84,135.09,80.91,56.29,entsoe.eu,FALSE,
2024/1/1 8:00,Portugal,Portugal,PT,83.52,135.77,80.77,57.6,entsoe.eu,FALSE,
2024/1/1 9:00,Portugal,Portugal,PT,64.91,112.28,85.18,65.14,entsoe.eu,FALSE,
2024/1/1 10:00,Portugal,Portugal,PT,50.56,94.81,88.56,72.09,entsoe.eu,FALSE,
2024/1/1 11:00,Portugal,Portugal,PT,45,85.46,89.94,73.98,entsoe.eu,FALSE,
2024/1/1 12:00,Portugal,Portugal,PT,42.44,81.77,90.52,74.87,entsoe.eu,FALSE,
2024/1/1 13:00,Portugal,Portugal,PT,43.58,83.3,90.22,76.13,entsoe.eu,FALSE,
2024/1/1 14:00,Portugal,Portugal,PT,44.31,84.88,90.02,76.86,entsoe.eu,FALSE,
2024/1/1 15:00,Portugal,Portugal,PT,46.64,87.95,89.48,74.98,entsoe.eu,FALSE,
2024/1/1 16:00,Portugal,Portugal,PT,60.58,103.73,86.18,66.57,entsoe.eu,FALSE,
2024/1/1 17:00,Portugal,Portugal,PT,79.4,97.15,90.12,76.59,entsoe.eu,FALSE,
2024/1/1 18:00,Portugal,Portugal,PT,75.69,85.25,92.81,83.71,entsoe.eu,FALSE,
2024/1/1 19:00,Portugal,Portugal,PT,73.68,78.78,94.21,88.04,entsoe.eu,FALSE,
2024/1/1 20:00,Portugal,Portugal,PT,65.4,74.91,94.2,88.52,entsoe.eu,FALSE,
2024/1/1 21:00,Portugal,Portugal,PT,66.55,79.28,93.34,85.45,entsoe.eu,FALSE,
2024/1/1 22:00,Portugal,Portugal,PT,45.94,81.46,90.17,75.87,entsoe.eu,FALSE,
2024/1/1 23:00,Portugal,Portugal,PT,43.22,78.78,90.2,76.3,entsoe.eu,FALSE,
2024/1/2 0:00,Portugal,Portugal,PT,41.72,76.87,90.54,77.21,entsoe.eu,FALSE,
2024/1/2 1:00,Portugal,Portugal,PT,42.95,78.93,90.17,76.93,entsoe.eu,FALSE,
2024/1/2 2:00,Portugal,Portugal,PT,40.66,75.64,90.73,77.71,entsoe.eu,FALSE,
2024/1/2 3:00,Portugal,Portugal,PT,37.87,72.05,91.35,79.31,entsoe.eu,FALSE,
2024/1/2 4:00,Portugal,Portugal,PT,37.42,71.72,91.41,80.35,entsoe.eu,FALSE,
2024/1/2 5:00,Portugal,Portugal,PT,36.89,71.4,91.54,80.94,entsoe.eu,FALSE,
2024/1/2 6:00,Portugal,Portugal,PT,35.97,69.69,91.74,81.86,entsoe.eu,FALSE,
2024/1/2 7:00,Portugal,Portugal,PT,25.22,56.04,94.53,92.09,entsoe.eu,FALSE,
2024/1/2 8:00,Portugal,Portugal,PT,36.59,56.39,95.81,95.81,entsoe.eu,FALSE,
2024/1/2 9:00,Portugal,Portugal,PT,29.45,55.67,95.14,93.17,entsoe.eu,FALSE,
2024/1/2 10:00,Portugal,Portugal,PT,23.91,55.48,94.51,89.87,entsoe.eu,FALSE,
2024/1/2 11:00,Portugal,Portugal,PT,25.97,55.93,94.17,87.19,entsoe.eu,FALSE,
2024/1/2 12:00,Portugal,Portugal,PT,25.52,54.99,94.32,87.09,entsoe.eu,FALSE,
2024/1/2 13:00,Portugal,Portugal,PT,25.71,55.14,94.24,87.15,entsoe.eu,FALSE,
2024/1/2 14:00,Portugal,Portugal,PT,24.58,53.57,94.5,87.85,entsoe.eu,FALSE,
2024/1/2 15:00,Portugal,Portugal,PT,26.1,54.99,94.15,86.65,entsoe.eu,FALSE,
2024/1/2 16:00,Portugal,Portugal,PT,27.81,56.41,93.87,88.22,entsoe.eu,FALSE,
2024/1/2 17:00,Portugal,Portugal,PT,38.18,58.34,94.62,90.82,entsoe.eu,FALSE,
2024/1/2 18:00,Portugal,Portugal,PT,46.86,57.46,95.95,94.1,entsoe.eu,FALSE,
2024/1/2 19:00,Portugal,Portugal,PT,39.18,57.95,94.87,90.46,entsoe.eu,FALSE,
2024/1/2 20:00,Portugal,Portugal,PT,36.71,60.36,93.81,86.87,Electricity Maps Estimation,TRUE,ESTIMATED_TIME_SLICER_AVERAGE
2024/1/2 21:00,Portugal,Portugal,PT,32.47,59.94,93.37,84.68,Electricity Maps Estimation,TRUE,ESTIMATED_TIME_SLICER_AVERAGE
2024/1/2 22:00,Portugal,Portugal,PT,26.08,55.32,94.28,85.13,Electricity Maps Estimation,TRUE,ESTIMATED_TIME_SLICER_AVERAGE
2024/1/2 23:00,Portugal,Portugal,PT,25.91,55.38,94.38,84.65,Electricity Maps Estimation,TRUE,ESTIMATED_TIME_SLICER_AVERAGE
2024/1/3 0:00,Portugal,Portugal,PT,32.12,63.6,92.87,81.51,Electricity Maps Estimation,TRUE,ESTIMATED_TIME_SLICER_AVERAGE
2024/1/3 1:00,Portugal,Portugal,PT,33.42,65.78,92.61,80.72,entsoe.eu,FALSE,
2024/1/3 2:00,Portugal,Portugal,PT,33.26,65.47,92.66,80.32,Electricity Maps Estimation,TRUE,ESTIMATED_TIME_SLICER_AVERAGE
2024/1/3 3:00,Portugal,Portugal,PT,33.43,65.61,92.65,80.29,entsoe.eu,FALSE,
2024/1/3 4:00,Portugal,Portugal,PT,34.88,67.41,92.3,79.43,entsoe.eu,FALSE,
2024/1/3 5:00,Portugal,Portugal,PT,36.25,71.35,91.96,80.26,entsoe.eu,FALSE,
2024/1/3 6:00,Portugal,Portugal,PT,40.03,73.49,91.98,82.06,entsoe.eu,FALSE,
2024/1/3 7:00,Portugal,Portugal,PT,61.59,75.2,93.79,87.92,entsoe.eu,FALSE,
2024/1/3 8:00,Portugal,Portugal,PT,65.66,75.12,94.12,89.29,entsoe.eu,FALSE,
2024/1/3 9:00,Portugal,Portugal,PT,64.43,76.86,93.41,85.54,entsoe.eu,FALSE,
2024/1/3 10:00,Portugal,Portugal,PT,56.15,74.68,92.97,82.81,entsoe.eu,FALSE,
2024/1/3 11:00,Portugal,Portugal,PT,56.33,74.2,93.07,82.74,entsoe.eu,FALSE,
2024/1/3 12:00,Portugal,Portugal,PT,58.31,77.08,92.53,82.29,entsoe.eu,FALSE,
2024/1/3 13:00,Portugal,Portugal,PT,62.66,81.77,91.7,81.6,entsoe.eu,FALSE,
2024/1/3 14:00,Portugal,Portugal,PT,75.41,98.91,88.16,77.11,entsoe.eu,FALSE,
2024/1/3 15:00,Portugal,Portugal,PT,93.48,114.71,85.67,74.89,entsoe.eu,FALSE,
2024/1/3 16:00,Portugal,Portugal,PT,104.27,127.28,82.97,73.63,entsoe.eu,FALSE,
2024/1/3 17:00,Portugal,Portugal,PT,126.34,148.27,79.11,72.65,entsoe.eu,FALSE,
2024/1/3 18:00,Portugal,Portugal,PT,126.38,146.27,79.47,75.21,entsoe.eu,FALSE,
2024/1/3 19:00,Portugal,Portugal,PT,119.41,141.9,80.11,75.52,Electricity Maps Estimation,TRUE,ESTIMATED_TIME_SLICER_AVERAGE
2024/1/3 20:00,Portugal,Portugal,PT,120.93,146.43,78.78,73.81,Electricity Maps Estimation,TRUE,ESTIMATED_TIME_SLICER_AVERAGE
2024/1/3 21:00,Portugal,Portugal,PT,106.35,134.24,80.83,73.95,Electricity Maps Estimation,TRUE,ESTIMATED_TIME_SLICER_AVERAGE
2024/1/3 22:00,Portugal,Portugal,PT,87.98,121.93,82.68,71.33,Electricity Maps Estimation,TRUE,ESTIMATED_TIME_SLICER_AVERAGE
2024/1/3 23:00,Portugal,Portugal,PT,74.97,113.83,83.89,70.12,entsoe.eu,FALSE,
2024/1/4 0:00,Portugal,Portugal,PT,68.88,111.8,84.04,68.32,Electricity Maps Estimation,TRUE,ESTIMATED_TIME_SLICER_AVERAGE
2024/1/4 1:00,Portugal,Portugal,PT,66.61,109.4,84.76,68.39,entsoe.eu,FALSE,
