timestamp,date,dow,minute_of_day,energy_kWh,wholesale_price_EUR_per_kWh,carbon_intensity_kgCO2_per_kWh,tou_period,price_flat,price_tou,price_rtp,tCO2_per_kWh,carbon_cost_EUR_50,carbon_cost_EUR_100,carbon_cost_EUR_200,carbon_cost_EUR_per_kWh_50,carbon_cost_EUR_per_kWh_100,carbon_cost_EUR_per_kWh_200
2023-11-21 13:00:00+00:00,2023-11-21,1,780,0.045,0.01,0.02932,shoulder,0.04365199999999999,0.0439511111111111,0.01,2.932e-05,6.597000000000001e-05,0.00013194000000000001,0.00026388000000000003,0.001466,0.002932,0.005864
2023-11-21 14:00:00+00:00,2023-11-21,1,840,0.032,0.013,0.0281,shoulder,0.04365199999999999,0.0439511111111111,0.013,2.81e-05,4.496e-05,8.992e-05,0.00017984,0.001405,0.00281,0.00562
2023-11-21 15:00:00+00:00,2023-11-21,1,900,0.027,0.02443,0.03103,shoulder,0.04365199999999999,0.0439511111111111,0.02443,3.103e-05,4.18905e-05,8.3781e-05,0.000167562,0.0015515,0.003103,0.006206
2023-11-21 16:00:00+00:00,2023-11-21,1,960,0.025,0.0431,0.0463299999999999,shoulder,0.04365199999999999,0.0439511111111111,0.0431,4.63299999999999e-05,5.7912499999999876e-05,0.00011582499999999975,0.0002316499999999995,0.0023164999999999948,0.0046329999999999896,0.009265999999999979
2023-11-21 17:00:00+00:00,2023-11-21,1,1020,0.035,0.04939,0.05864,shoulder,0.04365199999999999,0.0439511111111111,0.04939,5.864e-05,0.00010262,0.00020524,0.00041048,0.002932,0.005864,0.011728
2023-11-21 18:00:00+00:00,2023-11-21,1,1080,0.033,0.05819,0.0516,shoulder,0.04365199999999999,0.0439511111111111,0.05819,5.16e-05,8.514e-05,0.00017028,0.00034056,0.00258,0.00516,0.01032
2023-11-21 19:00:00+00:00,2023-11-21,1,1140,0.033,0.0762999999999999,0.0479,shoulder,0.04365199999999999,0.0439511111111111,0.0762999999999999,4.79e-05,7.9035e-05,0.00015807,0.00031614,0.002395,0.00479,0.00958
2023-11-21 20:00:00+00:00,2023-11-21,1,1200,0.035,0.07386,0.04686,shoulder,0.04365199999999999,0.0439511111111111,0.07386,4.686e-05,8.200500000000001e-05,0.00016401000000000002,0.00032802000000000005,0.002343,0.004686,0.009372
2023-11-21 21:00:00+00:00,2023-11-21,1,1260,0.03,0.04729,0.04467,shoulder,0.04365199999999999,0.0439511111111111,0.04729,4.4670000000000004e-05,6.7005e-05,0.00013401,0.00026802,0.0022335000000000002,0.0044670000000000005,0.008934000000000001
2023-11-21 22:00:00+00:00,2023-11-21,1,1320,0.089,0.04096,0.03162,offpeak,0.04365199999999999,0.04096,0.04096,3.1620000000000006e-05,0.000140709,0.000281418,0.000562836,0.0015810000000000004,0.0031620000000000007,0.0063240000000000015
2023-11-22 04:00:00+00:00,2023-11-22,2,240,0.131,0.02344,0.0231,offpeak,0.02844285714285714,0.02344,0.02344,2.31e-05,0.00015130500000000002,0.00030261000000000003,0.0006052200000000001,0.001155,0.00231,0.00462
2023-11-22 08:00:00+00:00,2023-11-22,2,480,0.026,0.031,0.0377599999999999,shoulder,0.02844285714285714,0.034199999999999994,0.031,3.7759999999999896e-05,4.9087999999999866e-05,9.817599999999973e-05,0.00019635199999999946,0.0018879999999999947,0.0037759999999999894,0.007551999999999979
2023-11-22 09:00:00+00:00,2023-11-22,2,540,0.026,0.02078,0.02646,shoulder,0.02844285714285714,0.034199999999999994,0.02078,2.646e-05,3.4398e-05,6.8796e-05,0.000137592,0.001323,0.002646,0.005292
2023-11-22 10:00:00+00:00,2023-11-22,2,600,0.028,0.01296,0.02755,peak,0.02844285714285714,0.01092,0.01296,2.7550000000000002e-05,3.8570000000000005e-05,7.714000000000001e-05,0.00015428000000000002,0.0013775,0.002755,0.00551
2023-11-22 11:00:00+00:00,2023-11-22,2,660,0.021,0.0099,0.02855,peak,0.02844285714285714,0.01092,0.0099,2.855e-05,2.9977500000000002e-05,5.9955000000000004e-05,0.00011991000000000001,0.0014275,0.002855,0.00571
2023-11-22 12:00:00+00:00,2023-11-22,2,720,0.03,0.0099,0.0335499999999999,peak,0.02844285714285714,0.01092,0.0099,3.35499999999999e-05,5.0324999999999854e-05,0.00010064999999999971,0.00020129999999999942,0.001677499999999995,0.00335499999999999,0.00670999999999998
2023-11-22 13:00:00+00:00,2023-11-22,2,780,0.034,0.00741,0.03652,shoulder,0.02844285714285714,0.034199999999999994,0.00741,3.6519999999999996e-05,6.2084e-05,0.000124168,0.000248336,0.0018259999999999997,0.0036519999999999994,0.007303999999999999
2023-11-22 14:00:00+00:00,2023-11-22,2,840,0.04,0.0099,0.0391199999999999,shoulder,0.02844285714285714,0.034199999999999994,0.0099,3.9119999999999897e-05,7.823999999999979e-05,0.00015647999999999959,0.00031295999999999917,0.0019559999999999946,0.003911999999999989,0.007823999999999979
2023-11-22 15:00:00+00:00,2023-11-22,2,900,0.021,0.02101,0.0421,shoulder,0.02844285714285714,0.034199999999999994,0.02101,4.21e-05,4.4205e-05,8.841e-05,0.00017682,0.002105,0.00421,0.00842
2023-11-22 16:00:00+00:00,2023-11-22,2,960,0.023,0.04052,0.06909,shoulder,0.02844285714285714,0.034199999999999994,0.04052,6.909e-05,7.94535e-05,0.000158907,0.000317814,0.0034545,0.006909,0.013818
2023-11-22 17:00:00+00:00,2023-11-22,2,1020,0.025,0.0681,0.07264,shoulder,0.02844285714285714,0.034199999999999994,0.0681,7.264e-05,9.08e-05,0.0001816,0.0003632,0.003632,0.007264,0.014528
2023-11-22 18:00:00+00:00,2023-11-22,2,1080,0.036,0.04418,0.06924,shoulder,0.02844285714285714,0.034199999999999994,0.04418,6.924e-05,0.00012463199999999998,0.00024926399999999996,0.0004985279999999999,0.003462,0.006924,0.013848
2023-11-22 19:00:00+00:00,2023-11-22,2,1140,0.055,0.0591,0.06228,shoulder,0.02844285714285714,0.034199999999999994,0.0591,6.228000000000001e-05,0.00017127,0.00034254,0.00068508,0.0031140000000000004,0.006228000000000001,0.012456000000000002
2023-11-22 20:00:00+00:00,2023-11-22,2,1200,0.031,0.04,0.0581,shoulder,0.02844285714285714,0.034199999999999994,0.04,5.8099999999999996e-05,9.005499999999999e-05,0.00018010999999999998,0.00036021999999999996,0.0029049999999999996,0.005809999999999999,0.011619999999999998
2023-11-23 11:00:00+00:00,2023-11-23,3,660,0.032,0.0255,0.02686,peak,0.06341333333333332,0.026639999999999997,0.0255,2.6859999999999997e-05,4.2975999999999996e-05,8.595199999999999e-05,0.00017190399999999999,0.0013429999999999998,0.0026859999999999996,0.005371999999999999
2023-11-23 12:00:00+00:00,2023-11-23,3,720,0.044,0.02778,0.02981,peak,0.06341333333333332,0.026639999999999997,0.02778,2.981e-05,6.5582e-05,0.000131164,0.000262328,0.0014905,0.002981,0.005962
2023-11-23 13:00:00+00:00,2023-11-23,3,780,0.027,0.0299,0.03435,shoulder,0.06341333333333332,0.07391999999999999,0.0299,3.435e-05,4.6372500000000004e-05,9.274500000000001e-05,0.00018549000000000001,0.0017175,0.003435,0.00687
2023-11-23 14:00:00+00:00,2023-11-23,3,840,0.061,0.03114,0.03989,shoulder,0.06341333333333332,0.07391999999999999,0.03114,3.989e-05,0.00012166449999999999,0.00024332899999999997,0.00048665799999999995,0.0019944999999999997,0.0039889999999999995,0.007977999999999999
2023-11-23 15:00:00+00:00,2023-11-23,3,900,0.033,0.05782,0.05415,shoulder,0.06341333333333332,0.07391999999999999,0.05782,5.4149999999999995e-05,8.934749999999999e-05,0.00017869499999999998,0.00035738999999999996,0.0027075,0.005415,0.01083
2023-11-23 16:00:00+00:00,2023-11-23,3,960,0.025,0.075,0.08145,shoulder,0.06341333333333332,0.07391999999999999,0.075,8.145e-05,0.00010181250000000001,0.00020362500000000003,0.00040725000000000006,0.0040725,0.008145,0.01629
2023-11-23 17:00:00+00:00,2023-11-23,3,1020,0.036,0.1098799999999999,0.08965,shoulder,0.06341333333333332,0.07391999999999999,0.1098799999999999,8.965e-05,0.00016136999999999998,0.00032273999999999996,0.0006454799999999999,0.0044824999999999995,0.008964999999999999,0.017929999999999998
2023-11-23 18:00:00+00:00,2023-11-23,3,1080,0.051,0.12576,0.0923799999999999,shoulder,0.06341333333333332,0.07391999999999999,0.12576,9.237999999999991e-05,0.00023556899999999976,0.0004711379999999995,0.000942275999999999,0.0046189999999999955,0.009237999999999991,0.018475999999999982
2023-11-23 20:00:00+00:00,2023-11-23,3,1200,0.066,0.08794,0.0855,shoulder,0.06341333333333332,0.07391999999999999,0.08794,8.55e-05,0.00028215000000000005,0.0005643000000000001,0.0011286000000000002,0.004275,0.00855,0.0171
2023-11-24 07:00:00+00:00,2023-11-24,4,420,0.057,0.10136,0.04813,offpeak,0.07088461538461537,0.08620666666666664,0.10136,4.813e-05,0.0001371705,0.000274341,0.000548682,0.0024065000000000002,0.0048130000000000004,0.009626000000000001
