timestamp,energy_kWh,wholesale_price_EUR_per_kWh,carbon_intensity_gCO2_per_kWh,carbon_intensity_kgCO2_per_kWh
2023-04-26 16:00:00+01:00,0.161,0.083,144.76,0.14476
2023-04-26 17:00:00+01:00,1.389,0.08704,157.79,0.15778999999999999
2023-04-26 18:00:00+01:00,2.714,0.12201000000000001,189.71,0.18971000000000002
2023-04-26 19:00:00+01:00,1.651,0.13529,193.72,0.19372
2023-04-26 20:00:00+01:00,2.413,0.14612,175.2,0.1752
2023-04-26 21:00:00+01:00,2.288,0.13354,197.32,0.19732
2023-04-26 22:00:00+01:00,1.17,0.12048,220.18,0.22018000000000001
2023-04-26 23:00:00+01:00,2.347,0.11369,229.56,0.22956000000000001
2023-04-27 00:00:00+01:00,1.067,0.11369,235.43,0.23543
2023-04-27 01:00:00+01:00,1.283,0.105,243.03,0.24303
2023-04-27 02:00:00+01:00,1.141,0.1,246.13,0.24613
2023-04-27 03:00:00+01:00,1.38,0.105,255.93,0.25593
2023-04-27 04:00:00+01:00,1.039,0.10679999999999999,258.22,0.25822
2023-04-27 05:00:00+01:00,0.957,0.12339,239.15,0.23915
2023-04-27 06:00:00+01:00,0.992,0.14258,190.64,0.19063999999999998
2023-04-27 07:00:00+01:00,1.103,0.13541,177.93,0.17793
2023-04-27 08:00:00+01:00,2.151,0.11318,189.98,0.18997999999999998
2023-04-27 09:00:00+01:00,1.182,0.09698999999999999,153.57,0.15356999999999998
2023-04-27 10:00:00+01:00,1.385,0.0925,137.22,0.13722
2023-04-27 11:00:00+01:00,1.827,0.094,137.14,0.13713999999999998
2023-04-27 12:00:00+01:00,2.375,0.091,140.95,0.14095
2023-04-27 13:00:00+01:00,1.444,0.08874,144.34,0.14434
2023-04-27 14:00:00+01:00,2.335,0.08648,148.4,0.1484
2023-04-27 15:00:00+01:00,2.913,0.08648,149.45,0.14945
2023-04-27 16:00:00+01:00,2.933,0.09112,162.79,0.16279
2023-04-27 17:00:00+01:00,2.247,0.09999,171.16,0.17116
2023-04-27 18:00:00+01:00,2.994,0.11735,184.53,0.18453
2023-04-27 19:00:00+01:00,2.0,0.1298,180.76,0.18076
2023-04-27 20:00:00+01:00,3.428,0.13801,183.23,0.18322999999999998
2023-04-27 21:00:00+01:00,2.267,0.126,192.35,0.19235
2023-04-27 22:00:00+01:00,1.372,0.12,200.44,0.20044
2023-04-27 23:00:00+01:00,1.703,0.12,202.84,0.20284
2023-04-28 00:00:00+01:00,3.02,0.11527,205.04,0.20504
2023-04-28 01:00:00+01:00,1.991,0.0987,212.69,0.21269
2023-04-28 02:00:00+01:00,1.143,0.11369,219.13,0.21913
2023-04-28 03:00:00+01:00,1.84,0.092,216.27,0.21627000000000002
2023-04-28 04:00:00+01:00,3.047,0.09819,222.68,0.22268000000000002
2023-04-28 05:00:00+01:00,1.824,0.11,233.64,0.23364
2023-04-28 06:00:00+01:00,1.049,0.12373999999999999,213.98,0.21398
2023-04-28 07:00:00+01:00,1.02,0.12638,204.06,0.20406
2023-04-28 08:00:00+01:00,1.014,0.12,191.93,0.19193000000000002
2023-04-28 09:00:00+01:00,1.092,0.11281000000000001,170.75,0.17075
2023-04-28 10:00:00+01:00,1.093,0.10583,153.08,0.15308000000000002
2023-04-28 11:00:00+01:00,1.032,0.10172,142.63,0.14263
2023-04-28 12:00:00+01:00,0.929,0.09278,133.07,0.13307
2023-04-28 13:00:00+01:00,0.904,0.08665,126.6,0.1266
2023-04-28 14:00:00+01:00,0.907,0.08,122.16,0.12215999999999999
2023-04-28 15:00:00+01:00,0.876,0.08109999999999999,123.48,0.12348
2023-04-28 16:00:00+01:00,1.7,0.09162999999999999,134.28,0.13428
2023-04-28 17:00:00+01:00,1.198,0.112,146.46,0.14646
2023-04-28 18:00:00+01:00,0.946,0.118,157.93,0.15793000000000001
2023-04-28 19:00:00+01:00,1.097,0.126,139.44,0.13944
2023-04-28 20:00:00+01:00,1.935,0.12693000000000002,134.09,0.13409000000000001
2023-04-28 21:00:00+01:00,1.606,0.12,133.02,0.13302
2023-04-28 22:00:00+01:00,3.917,0.11602,136.63,0.13663
2023-04-28 23:00:00+01:00,2.286,0.11559,142.88,0.14288
2023-04-29 00:00:00+01:00,3.104,0.11025,143.02,0.14302
2023-04-29 01:00:00+01:00,2.338,0.1061,161.28,0.16128
2023-04-29 02:00:00+01:00,2.026,0.105,171.8,0.1718
2023-04-29 03:00:00+01:00,3.383,0.10124,166.06,0.16606
2023-04-29 04:00:00+01:00,2.618,0.10275,155.93,0.15593
2023-04-29 05:00:00+01:00,3.643,0.10324,153.1,0.15309999999999999
2023-04-29 06:00:00+01:00,2.765,0.10940000000000001,151.83,0.15183000000000002
2023-04-29 07:00:00+01:00,1.853,0.11564,146.02,0.14602
2023-04-29 08:00:00+01:00,2.063,0.10661,146.13,0.14612999999999998
2023-04-29 09:00:00+01:00,3.76,0.10357999999999999,118.36,0.11835999999999999
2023-04-29 10:00:00+01:00,2.79,0.09287000000000001,97.85,0.09784999999999999
2023-04-29 11:00:00+01:00,3.126,0.07540999999999999,69.55,0.06955
2023-04-29 12:00:00+01:00,1.24,0.06901,58.18,0.05818
2023-04-29 13:00:00+01:00,1.093,0.04321,54.39,0.05439
2023-04-29 14:00:00+01:00,1.232,0.037649999999999996,51.94,0.05194
2023-04-29 15:00:00+01:00,0.988,0.03,49.84,0.04984
2023-04-29 16:00:00+01:00,0.965,0.03,49.74,0.04974
2023-04-29 17:00:00+01:00,1.086,0.032600000000000004,51.0,0.051
2023-04-29 18:00:00+01:00,0.775,0.05809,63.59,0.06359000000000001
2023-04-29 19:00:00+01:00,0.428,0.11434,82.19,0.08219
2023-04-29 20:00:00+01:00,0.366,0.12,87.13,0.08713
2023-04-29 21:00:00+01:00,0.507,0.11556999999999999,83.55,0.08355
2023-04-29 22:00:00+01:00,0.833,0.11,83.92,0.08392000000000001
2023-04-29 23:00:00+01:00,1.81,0.09928000000000001,75.77,0.07576999999999999
2023-04-30 00:00:00+01:00,0.923,0.09109,58.08,0.05808
2023-04-30 01:00:00+01:00,0.769,0.08838,65.64,0.06564
2023-04-30 02:00:00+01:00,0.768,0.08549,68.26,0.06826
2023-04-30 03:00:00+01:00,0.794,0.07493000000000001,65.08,0.06508
2023-04-30 04:00:00+01:00,0.778,0.07507,69.0,0.069
2023-04-30 05:00:00+01:00,0.784,0.08462,76.08,0.07608
2023-04-30 06:00:00+01:00,0.764,0.082,83.97,0.08397
2023-04-30 07:00:00+01:00,0.855,0.075,77.18,0.07718000000000001
2023-04-30 08:00:00+01:00,1.225,0.05,72.02,0.07202
2023-04-30 09:00:00+01:00,2.708,0.0277,58.7,0.0587
2023-04-30 10:00:00+01:00,3.618,0.04,53.88,0.053880000000000004
2023-04-30 11:00:00+01:00,2.838,0.04507,50.72,0.05072
2023-04-30 12:00:00+01:00,1.819,0.037649999999999996,52.22,0.052219999999999996
2023-04-30 13:00:00+01:00,2.256,0.03,51.38,0.05138
