timestamp,energy_kWh,wholesale_price_EUR_per_kWh,carbon_intensity_gCO2_per_kWh,carbon_intensity_kgCO2_per_kWh
2023-04-26 16:00:00+01:00,0.055,0.083,144.76,0.14476
2023-04-26 17:00:00+01:00,1.078,0.08704,157.79,0.15778999999999999
2023-04-26 18:00:00+01:00,0.982,0.12201000000000001,189.71,0.18971000000000002
2023-04-26 19:00:00+01:00,1.108,0.13529,193.72,0.19372
2023-04-26 20:00:00+01:00,1.122,0.14612,175.2,0.1752
2023-04-26 21:00:00+01:00,0.922,0.13354,197.32,0.19732
2023-04-26 22:00:00+01:00,0.521,0.12048,220.18,0.22018000000000001
2023-04-26 23:00:00+01:00,0.112,0.11369,229.56,0.22956000000000001
2023-04-27 11:00:00+01:00,0.272,0.094,137.14,0.13713999999999998
2023-04-27 12:00:00+01:00,0.295,0.091,140.95,0.14095
2023-04-27 13:00:00+01:00,1.041,0.08874,144.34,0.14434
2023-04-27 14:00:00+01:00,1.199,0.08648,148.4,0.1484
2023-04-27 15:00:00+01:00,1.103,0.08648,149.45,0.14945
2023-04-27 16:00:00+01:00,0.791,0.09112,162.79,0.16279
2023-04-27 17:00:00+01:00,0.716,0.09999,171.16,0.17116
2023-04-27 18:00:00+01:00,0.702,0.11735,184.53,0.18453
2023-04-27 19:00:00+01:00,1.166,0.1298,180.76,0.18076
2023-04-27 20:00:00+01:00,0.572,0.13801,183.23,0.18322999999999998
2023-04-27 21:00:00+01:00,1.056,0.126,192.35,0.19235
2023-04-27 22:00:00+01:00,0.718,0.12,200.44,0.20044
2023-04-27 23:00:00+01:00,0.934,0.12,202.84,0.20284
2023-04-28 00:00:00+01:00,0.874,0.11527,205.04,0.20504
2023-04-28 01:00:00+01:00,0.788,0.0987,212.69,0.21269
2023-04-28 02:00:00+01:00,0.961,0.11369,219.13,0.21913
2023-04-28 03:00:00+01:00,1.282,0.092,216.27,0.21627000000000002
2023-04-28 04:00:00+01:00,0.599,0.09819,222.68,0.22268000000000002
2023-04-28 05:00:00+01:00,0.522,0.11,233.64,0.23364
2023-04-28 06:00:00+01:00,0.494,0.12373999999999999,213.98,0.21398
2023-04-28 07:00:00+01:00,0.506,0.12638,204.06,0.20406
2023-04-28 08:00:00+01:00,0.44,0.12,191.93,0.19193000000000002
2023-04-28 09:00:00+01:00,0.405,0.11281000000000001,170.75,0.17075
2023-04-28 10:00:00+01:00,0.339,0.10583,153.08,0.15308000000000002
2023-04-28 11:00:00+01:00,0.292,0.10172,142.63,0.14263
2023-04-28 12:00:00+01:00,0.326,0.09278,133.07,0.13307
2023-04-28 13:00:00+01:00,0.31,0.08665,126.6,0.1266
2023-04-28 14:00:00+01:00,0.335,0.08,122.16,0.12215999999999999
2023-04-28 15:00:00+01:00,0.314,0.08109999999999999,123.48,0.12348
2023-04-28 16:00:00+01:00,0.289,0.09162999999999999,134.28,0.13428
2023-04-28 17:00:00+01:00,0.366,0.112,146.46,0.14646
2023-04-28 18:00:00+01:00,0.466,0.118,157.93,0.15793000000000001
2023-04-28 19:00:00+01:00,0.382,0.126,139.44,0.13944
2023-04-28 20:00:00+01:00,0.449,0.12693000000000002,134.09,0.13409000000000001
2023-04-28 21:00:00+01:00,1.154,0.12,133.02,0.13302
2023-04-28 22:00:00+01:00,1.274,0.11602,136.63,0.13663
2023-04-28 23:00:00+01:00,0.718,0.11559,142.88,0.14288
2023-04-29 00:00:00+01:00,0.973,0.11025,143.02,0.14302
2023-04-29 01:00:00+01:00,0.99,0.1061,161.28,0.16128
2023-04-29 02:00:00+01:00,0.524,0.105,171.8,0.1718
2023-04-29 03:00:00+01:00,1.007,0.10124,166.06,0.16606
2023-04-29 04:00:00+01:00,0.904,0.10275,155.93,0.15593
2023-04-29 05:00:00+01:00,0.855,0.10324,153.1,0.15309999999999999
2023-04-29 06:00:00+01:00,0.785,0.10940000000000001,151.83,0.15183000000000002
2023-04-29 07:00:00+01:00,0.877,0.11564,146.02,0.14602
2023-04-29 08:00:00+01:00,1.024,0.10661,146.13,0.14612999999999998
2023-04-29 09:00:00+01:00,0.86,0.10357999999999999,118.36,0.11835999999999999
2023-04-29 10:00:00+01:00,0.887,0.09287000000000001,97.85,0.09784999999999999
2023-04-29 11:00:00+01:00,1.28,0.07540999999999999,69.55,0.06955
2023-04-29 12:00:00+01:00,1.255,0.06901,58.18,0.05818
2023-04-29 13:00:00+01:00,0.686,0.04321,54.39,0.05439
2023-04-29 14:00:00+01:00,0.96,0.037649999999999996,51.94,0.05194
2023-04-29 15:00:00+01:00,0.347,0.03,49.84,0.04984
2023-04-29 16:00:00+01:00,0.426,0.03,49.74,0.04974
2023-04-29 17:00:00+01:00,0.277,0.032600000000000004,51.0,0.051
2023-04-29 18:00:00+01:00,0.344,0.05809,63.59,0.06359000000000001
2023-04-29 19:00:00+01:00,0.098,0.11434,82.19,0.08219
2023-04-29 20:00:00+01:00,0.091,0.12,87.13,0.08713
2023-04-29 21:00:00+01:00,0.092,0.11556999999999999,83.55,0.08355
2023-04-29 22:00:00+01:00,0.152,0.11,83.92,0.08392000000000001
2023-04-29 23:00:00+01:00,0.148,0.09928000000000001,75.77,0.07576999999999999
2023-04-30 00:00:00+01:00,0.171,0.09109,58.08,0.05808
2023-04-30 01:00:00+01:00,0.165,0.08838,65.64,0.06564
2023-04-30 02:00:00+01:00,0.155,0.08549,68.26,0.06826
2023-04-30 03:00:00+01:00,0.164,0.07493000000000001,65.08,0.06508
2023-04-30 04:00:00+01:00,0.138,0.07507,69.0,0.069
2023-04-30 05:00:00+01:00,0.158,0.08462,76.08,0.07608
2023-04-30 06:00:00+01:00,0.183,0.082,83.97,0.08397
2023-04-30 07:00:00+01:00,0.21,0.075,77.18,0.07718000000000001
2023-04-30 08:00:00+01:00,0.458,0.05,72.02,0.07202
2023-04-30 09:00:00+01:00,1.173,0.0277,58.7,0.0587
2023-04-30 10:00:00+01:00,0.471,0.04,53.88,0.053880000000000004
2023-04-30 11:00:00+01:00,1.246,0.04507,50.72,0.05072
2023-04-30 12:00:00+01:00,0.904,0.037649999999999996,52.22,0.052219999999999996
2023-04-30 13:00:00+01:00,0.712,0.03,51.38,0.05138
2023-04-30 14:00:00+01:00,0.659,0.04,45.08,0.045079999999999995
2023-04-30 15:00:00+01:00,0.529,0.037649999999999996,44.68,0.04468
2023-04-30 16:00:00+01:00,0.682,0.037649999999999996,43.87,0.04387
2023-04-30 17:00:00+01:00,0.52,0.04337,43.9,0.0439
2023-04-30 18:00:00+01:00,0.415,0.07467,59.65,0.05965
2023-04-30 19:00:00+01:00,0.299,0.11144,80.33,0.08033
2023-04-30 20:00:00+01:00,0.398,0.1222,83.04,0.08304
2023-04-30 21:00:00+01:00,0.832,0.11712,81.75,0.08175
2023-04-30 22:00:00+01:00,0.465,0.10870999999999999,88.59,0.08859
2023-04-30 23:00:00+01:00,0.467,0.10990000000000001,92.93,0.09293000000000001
2023-05-01 00:00:00+01:00,0.591,0.0999,104.65,0.10465
2023-05-01 01:00:00+01:00,0.477,0.09548999999999999,119.01,0.11901
2023-05-01 02:00:00+01:00,0.382,0.09059,130.96,0.13096000000000002
2023-05-01 03:00:00+01:00,0.35,0.0874,138.44,0.13844
2023-05-01 04:00:00+01:00,0.257,0.088,135.94,0.13594
2023-05-01 05:00:00+01:00,0.245,0.08738,138.8,0.1388
2023-05-01 06:00:00+01:00,0.238,0.08956,129.77,0.12977
2023-05-01 07:00:00+01:00,0.212,0.08426,120.1,0.1201
2023-05-01 08:00:00+01:00,0.182,0.04981,94.71,0.09470999999999999
2023-05-01 09:00:00+01:00,0.224,0.031,79.81,0.07981
2023-05-01 10:00:00+01:00,0.219,0.11,93.01,0.09301000000000001
2023-05-01 11:00:00+01:00,0.213,0.11495,96.36,0.09636
2023-05-01 12:00:00+01:00,0.214,0.11495,95.52,0.09552
2023-05-01 13:00:00+01:00,0.243,0.09484999999999999,94.61,0.09461
2023-05-01 14:00:00+01:00,0.319,0.11,97.95,0.09795000000000001
2023-05-01 15:00:00+01:00,0.226,0.081,91.44,0.09144
2023-05-01 16:00:00+01:00,0.203,0.081,92.23,0.09223
2023-05-01 17:00:00+01:00,0.202,0.11,91.73,0.09173
2023-05-01 18:00:00+01:00,0.458,0.067,106.01,0.10601000000000001
2023-05-01 19:00:00+01:00,1.446,0.11706,155.74,0.15574000000000002
2023-05-01 20:00:00+01:00,0.347,0.12257,166.74,0.16674
2023-05-01 21:00:00+01:00,0.367,0.12257,171.07,0.17107
2023-05-01 22:00:00+01:00,0.437,0.119,186.34,0.18634
2023-05-01 23:00:00+01:00,0.371,0.11134000000000001,191.91,0.19191
2023-05-02 00:00:00+01:00,0.328,0.09029999999999999,195.96,0.19596
2023-05-02 01:00:00+01:00,0.206,0.09029999999999999,201.38,0.20138
2023-05-02 02:00:00+01:00,0.338,0.09,199.87,0.19987
2023-05-02 03:00:00+01:00,0.35,0.09029999999999999,198.38,0.19838
2023-05-02 04:00:00+01:00,0.436,0.11048000000000001,202.05,0.20205
2023-05-02 05:00:00+01:00,1.139,0.115,217.5,0.2175
