timestamp,energy_kWh,wholesale_price_EUR_per_kWh,carbon_intensity_gCO2_per_kWh,carbon_intensity_kgCO2_per_kWh
2023-05-31 20:00:00+01:00,0.007,0.11906,179.27,0.17927
2023-05-31 21:00:00+01:00,0.006,0.115,187.05,0.18705000000000002
2023-05-31 22:00:00+01:00,0.008,0.09661,200.74,0.20074
2023-05-31 23:00:00+01:00,0.006,0.09409000000000001,222.75,0.22275
2023-06-01 00:00:00+01:00,0.006,0.087,244.27,0.24427000000000001
2023-06-01 01:00:00+01:00,0.007,0.087,251.99,0.25199
2023-06-01 02:00:00+01:00,0.006,0.08901,253.69,0.25368999999999997
2023-06-01 03:00:00+01:00,0.006,0.081,258.32,0.25832
2023-06-01 04:00:00+01:00,0.005,0.08009999999999999,249.57,0.24957
2023-06-01 05:00:00+01:00,0.006,0.0881,246.68,0.24668
2023-06-01 06:00:00+01:00,0.006,0.0985,197.06,0.19706
2023-06-01 07:00:00+01:00,0.005,0.09906999999999999,192.99,0.19299000000000002
2023-06-01 08:00:00+01:00,0.006,0.0873,206.53,0.20653
2023-06-01 09:00:00+01:00,0.005,0.07386,184.59,0.18459
2023-06-01 10:00:00+01:00,0.006,0.07281,184.19,0.18419
2023-06-01 11:00:00+01:00,0.0055,0.07281,175.46,0.17546
2023-06-01 12:00:00+01:00,0.0055,0.072,176.7,0.1767
2023-06-01 13:00:00+01:00,0.004,0.07049,178.61,0.17861000000000002
2023-06-01 14:00:00+01:00,0.004,0.069,176.08,0.17608000000000001
2023-06-01 15:00:00+01:00,0.004,0.06818,171.85,0.17185
2023-06-01 16:00:00+01:00,0.004,0.073,170.08,0.17008
2023-06-01 17:00:00+01:00,0.004,0.08616,185.08,0.18508000000000002
2023-06-01 18:00:00+01:00,0.004,0.09935,186.17,0.18616999999999997
2023-06-01 19:00:00+01:00,0.004,0.1025,182.05,0.18205000000000002
2023-06-01 20:00:00+01:00,0.004,0.10379000000000001,179.4,0.1794
2023-06-01 21:00:00+01:00,0.005,0.10177,181.89,0.18189
2023-06-01 22:00:00+01:00,0.006,0.09201999999999999,195.59,0.19559
2023-06-01 23:00:00+01:00,0.006,0.08951,205.76,0.20576
2023-06-02 00:00:00+01:00,0.007,0.08009999999999999,201.12,0.20112
2023-06-02 01:00:00+01:00,0.006,0.077,195.83,0.19583
2023-06-02 02:00:00+01:00,0.006,0.077,199.52,0.19952
