timestamp,energy_kWh,wholesale_price_EUR_per_kWh,carbon_intensity_gCO2_per_kWh,carbon_intensity_kgCO2_per_kWh
2023-11-21 13:00:00+00:00,0.045,0.01,29.32,0.02932
2023-11-21 14:00:00+00:00,0.032,0.013,28.1,0.0281
2023-11-21 15:00:00+00:00,0.027,0.02443,31.03,0.031030000000000002
2023-11-21 16:00:00+00:00,0.025,0.0431,46.33,0.046329999999999996
2023-11-21 17:00:00+00:00,0.035,0.04939,58.64,0.05864
2023-11-21 18:00:00+00:00,0.033,0.05819,51.6,0.0516
2023-11-21 19:00:00+00:00,0.033,0.07629999999999999,47.9,0.0479
2023-11-21 20:00:00+00:00,0.035,0.07386,46.86,0.04686
2023-11-21 21:00:00+00:00,0.03,0.04729,44.67,0.04467
2023-11-21 22:00:00+00:00,0.089,0.04096,31.62,0.03162
2023-11-22 04:00:00+00:00,0.131,0.023440000000000003,23.1,0.023100000000000002
2023-11-22 08:00:00+00:00,0.026,0.031,37.76,0.037759999999999995
2023-11-22 09:00:00+00:00,0.026,0.02078,26.46,0.02646
2023-11-22 10:00:00+00:00,0.028,0.012960000000000001,27.55,0.02755
2023-11-22 11:00:00+00:00,0.021,0.0099,28.55,0.02855
2023-11-22 12:00:00+00:00,0.03,0.0099,33.55,0.033549999999999996
2023-11-22 13:00:00+00:00,0.034,0.00741,36.52,0.036520000000000004
2023-11-22 14:00:00+00:00,0.04,0.0099,39.12,0.039119999999999995
2023-11-22 15:00:00+00:00,0.021,0.02101,42.1,0.0421
2023-11-22 16:00:00+00:00,0.023,0.04052,69.09,0.06909
2023-11-22 17:00:00+00:00,0.025,0.0681,72.64,0.07264
2023-11-22 18:00:00+00:00,0.036,0.04418,69.24,0.06924
2023-11-22 19:00:00+00:00,0.055,0.0591,62.28,0.06228
2023-11-22 20:00:00+00:00,0.031,0.04,58.1,0.0581
2023-11-23 11:00:00+00:00,0.032,0.0255,26.86,0.02686
2023-11-23 12:00:00+00:00,0.044,0.027780000000000003,29.81,0.02981
2023-11-23 13:00:00+00:00,0.027,0.0299,34.35,0.03435
2023-11-23 14:00:00+00:00,0.061,0.03114,39.89,0.03989
2023-11-23 15:00:00+00:00,0.033,0.05782,54.15,0.05415
2023-11-23 16:00:00+00:00,0.025,0.075,81.45,0.08145000000000001
2023-11-23 17:00:00+00:00,0.036,0.10987999999999999,89.65,0.08965000000000001
2023-11-23 18:00:00+00:00,0.051,0.12576,92.38,0.09237999999999999
2023-11-23 20:00:00+00:00,0.066,0.08794,85.5,0.0855
2023-11-24 07:00:00+00:00,0.057,0.10136,48.13,0.04813
2023-11-24 08:00:00+00:00,0.031,0.07207,34.7,0.0347
2023-11-24 09:00:00+00:00,0.026,0.065,36.07,0.03607
2023-11-24 10:00:00+00:00,0.027,0.05239,30.98,0.03098
2023-11-24 11:00:00+00:00,0.026,0.05239,31.77,0.03177
2023-11-24 12:00:00+00:00,0.03,0.052,34.73,0.03473
2023-11-24 13:00:00+00:00,0.03,0.05169,37.38,0.037380000000000004
2023-11-24 14:00:00+00:00,0.027,0.053090000000000005,51.55,0.05155
2023-11-24 19:00:00+00:00,0.129,0.09770999999999999,116.23,0.11623
